,1000,1500,2000,2500,3000,3500
0.5,0.02067,0.002817,0.0005966,0.000157,4.816e-05,1.594e-05
0.75,0.0465,0.006496,0.001359,0.0003714,0.0001119,3.978e-05
1.0,0.08304,0.01151,0.002503,0.0006779,0.000216,7.611e-05
1.25,0.132,0.01833,0.003945,0.001101,0.0003582,0.0001336
1.5,0.1925,0.02642,0.005902,0.001662,0.0005573,0.000213
1.75,0.2608,0.03744,0.008391,0.002373,0.0008232,0.0003271
2.0,0.3474,0.05019,0.01133,0.003327,0.001163,0.0004757
2.25,0.4421,0.06508,0.01507,0.004476,0.001634,0.0006706
2.5,0.553,0.08324,0.01925,0.005849,0.002162,0.0009416
2.75,0.6717,0.1028,0.02437,0.007719,0.002891,0.001278
3.0,0.8302,0.1256,0.03052,0.009751,0.003766,0.001665
3.25,0.9752,0.1517,0.03769,0.01222,0.00395,0.002168
3.5,1.136,0.1836,0.04546,0.01489,0.005928,0.002815
